rssd9001,Affect
2877877,0.0
3123638,0.09785552133333333
1206715,0.0
1247679,0.0
1083840,0.0
1100224,0.0
1116609,0.0
2468293,0.0
2066886,0.0
1051081,0.0
1206733,0.0
1133008,0.0
2468314,0.0
1141218,0.0
3303908,0.0
2869733,0.0
1206760,0.0
3025385,0.0
1141227,0.0
1075694,5.442386e-07
2943473,0.0
1083895,0.0
2845175,0.0
2435594,0.0
1059340,0.0
2558484,0.0
2705943,0.0
2591258,0.0
1124891,0.0
1083934,0.0
2533922,0.0
1493560,0.0
1124921,0.0
3271230,0.0
2067007,0.0
1026632,0.008199466276923077
2787912,0.0
1075788,0.0
1059407,0.0
2755162,0.0
3213922,0.0
3312227,0.0
1141348,0.0
2509413,0.0
1067626,0.0
1985131,0.0
1133165,0.0
2935405,0.0
3017326,0.0
1133174,0.0
2337401,0.0021523645647058822
1206911,0.0
1493636,0.0
2312837,0.0
1141384,0.0
1944204,0.0
2976396,0.0
3033746,0.0
1247893,2.732578176470588e-07
1493654,0.0
1084061,0.0
1125030,0.0
3254952,0.0
1075881,0.0
1141423,0.0
1108659,0.0
1985216,0.002245938066666667
1141441,0.0
3140288,0.0
1075911,0.0
2378440,0.0
2640585,0.0
1133259,0.0
2861773,0.0
2452180,0.00547437814
1493720,0.0
1125085,0.0
1133277,0.0
1084128,0.0
1108707,0.0
1133286,0.0
2640615,0.0
1141487,0.0
3025648,0.0
1026801,0.0
1247987,0.0
1084155,0.0
2796286,0.0
3214095,0.0
1075984,0.0
2427665,0.0
2616085,0.0
2173720,0.0
1108761,0.0
1919770,0.0
1067804,0.0
2190110,0.0
1248032,0.0
1493793,0.0
1076002,0.0
3001129,0.0
1084203,0.0
1141553,0.0
1084212,0.01297847138888889
1108789,0.0
1977154,0.0
2108227,0.0
3001156,0.0
1248069,0.0
2476869,0.0
1493832,0.0
1051465,0.0
1248078,0.0
1493841,0.0
1207123,0.0
2485076,0.0
3058516,0.0
1059676,0.0
1207132,0.0
3058525,0.0
1141599,1.5052299317647061e-05
1141601,0.0
1117026,0.0
2141028,0.0
2747251,0.0
1125236,0.0
2345844,0.0
1051513,0.0
2100089,0.0
2632571,0.0
3435386,
1125245,0.0
1133437,0.0
1141629,0.00047605178
2550657,0.0
1469314,0.026577130833333334
1059715,4.1975786222222225e-06
1076105,0.0
3197835,0.0
2624398,0.0016219102752666667
1133455,0.0
1141647,0.0
1248144,0.0
2575249,0.0
1035157,0.0
1248153,0.0
2460569,0.0
1076123,0.0
1133473,0.0
1248162,0.0
1076132,3.08669974e-05
1207208,0.0
1141674,0.0
1133491,0.0
1076150,0.0
1027004,0.007162316670555559
2247612,0.0
3287996,0.0
1133503,0.0
2132932,8.061492352941177e-06
1117129,0.0
3165133,0.0
1076178,0.0
1133530,0.0
3189728,0.0
1117156,0.0
1895397,0.0
1108967,0.0
1125357,0.0
1059827,0.0
